Epochs,val_class_mae,val_class_mse,val_class_percent_2buckRange,acc
142.0,0.250865152101154,0.18527585424150672,0.6920493661358998,0.17823860297204264
143.0,0.249375409162592,0.18548897845290108,0.6918814541217952,0.18335991940223323
144.0,0.2549200219517941,0.1857313588167776,0.6883553018218453,0.18252035933171018
145.0,0.2573128528233069,0.186465611048784,0.6860884896351862,0.18008563512719336
146.0,0.2516925096106503,0.18486144075605052,0.6891948618961216,0.18042145915540256
147.0,0.2524015292689178,0.18430852081591312,0.6899504659595923,0.1789102510284611
148.0,0.25170525476860667,0.18540002940714123,0.6919654101288476,0.1829401393669717
149.0,0.2503752041904905,0.18543995795117027,0.6918814541217952,0.18050541516245489
150.0,0.25168600947668146,0.18487920890265974,0.6905381580089583,0.18000167912014103
151.0,0.2507704241321225,0.18523065807757114,0.691545630093586,0.17849047099319956
152.0,0.2523914746994556,0.18549896756033984,0.6860884896351862,0.17840651498614726
153.0,0.252778228231906,0.18449652868287608,0.6893627739102262,0.17748299890857192
154.0,0.2571243515679002,0.18535433573633164,0.6852489295646632,0.17563596675342122
155.0,0.2551674180958195,0.1855467145588684,0.6875996977583746,0.1787423390143565
156.0,0.25082653641810837,0.18480903294802853,0.6911258500583245,0.17781882293678114
157.0,0.25114158815505294,0.18371350957538446,0.6924691461711614,0.18243640332465788
158.0,0.2509273383986909,0.18337305654167138,0.6909579380442199,0.18084123919066408
159.0,0.25339659475007154,0.18446602068272858,0.6891948618961216,0.18000167912014103
160.0,0.25019070238873314,0.18385962873569675,0.6919654101288476,0.18252035933171018
161.0,0.25355040389037675,0.18437813957645674,0.6892788179031738,0.18075728318361178
162.0,0.2497175794441027,0.1847832596989605,0.6909579380442199,0.17790277894383344
163.0,0.25244363336496656,0.18535108251922347,0.691545630093586,0.1831080513810763
164.0,0.24997848267819858,0.18409826546399502,0.6891109058890692,0.1795818990848795
165.0,0.2531974686552241,0.18457769261440554,0.6896985979384354,0.18193266728234406
166.0,0.25203862927660775,0.18339821767590828,0.6912937620724291,0.18025354714129796
167.0,0.2506013239634026,0.1835612213418442,0.688523213839703,0.18075728318361178
168.0,0.25101618624265964,0.18314969099025344,0.6904542020019061,0.17991772311308873
169.0,0.2505715813982868,0.18358012847211416,0.6909579380442199,0.17983376710603644
170.0,0.25282855348286387,0.1841181139708386,0.6911258500583245,0.18235244731760558
171.0,0.25020849652949295,0.18344811227567628,0.6921333221429522,0.1809251951977164
172.0,0.25085923783765735,0.18297129442355323,0.691545630093586,0.17756695491562421
