activity_id,user_id,metric_utc_unix,gender,age,height,weight,bounce,braking,cadence,ground_contact,pelvic_drop,pelvic_rotation,pelvic_tilt,gps_speed_true,gps_speed_round_unit,gps_speed_round_half_unit,gps_speed_round_1dec,gps_speed_round_2dec
15613293841,9031b54a-7b41-4bcc-961f-0c24d0fe04d8,1483948182,-1,43,167,57,84.5,47.6666666667,174.166666667,245.833333333,73.3333333333,195.666666667,82.6666666667,1.71993333333,2,1.5,1.7,1.72
15613293841,9031b54a-7b41-4bcc-961f-0c24d0fe04d8,1483948185,-1,43,167,57,82,46,175,250,75,119,76,2.011,2,2,2,2.01
15613293841,9031b54a-7b41-4bcc-961f-0c24d0fe04d8,1483948188,-1,43,167,57,84,47,173,249,81,155,72,2.565,3,2.5,2.6,2.57
15613293841,9031b54a-7b41-4bcc-961f-0c24d0fe04d8,1483948191,-1,43,167,57,83,46,172,253,79,166,72,2.5908,3,2.5,2.6,2.59
15613293841,9031b54a-7b41-4bcc-961f-0c24d0fe04d8,1483948194,-1,43,167,57,83.8333333333,48.5,174.5,248.833333333,89,137.666666667,77,2.58761111111,3,2.5,2.6,2.59
15613293841,9031b54a-7b41-4bcc-961f-0c24d0fe04d8,1483948200,-1,43,167,57,86.6666666667,48,171.5,248.833333333,92.8333333333,123.333333333,80.3333333333,2.38372222222,2,2.5,2.4,2.38
15613293841,9031b54a-7b41-4bcc-961f-0c24d0fe04d8,1483948203,-1,43,167,57,85,48,174,243,87,140,77,2.22833333333,2,2,2.2,2.23
15613293841,9031b54a-7b41-4bcc-961f-0c24d0fe04d8,1483948206,-1,43,167,57,86,49,173,241,84,121,73,1.95833333333,2,2,2,1.96
15613293841,9031b54a-7b41-4bcc-961f-0c24d0fe04d8,1483948209,-1,43,167,57,85,48,173,245,88,127,78,2.215,2,2,2.2,2.22
15613293841,9031b54a-7b41-4bcc-961f-0c24d0fe04d8,1483948212,-1,43,167,57,85,48,173,243.25,86.25,125.25,75.375,2.5117,3,2.5,2.5,2.51
15613293841,9031b54a-7b41-4bcc-961f-0c24d0fe04d8,1483948215,-1,43,167,57,85,48,174,247,88,119,76,2.79193333333,3,3,2.8,2.79
15613293841,9031b54a-7b41-4bcc-961f-0c24d0fe04d8,1483948218,-1,43,167,57,84.75,47.5,174,247.75,89.25,122,76.75,2.872,3,3,2.9,2.87
15613293841,9031b54a-7b41-4bcc-961f-0c24d0fe04d8,1483948221,-1,43,167,57,85,47,173.333333333,250,93,126,79.6666666667,3.0192,3,3,3,3.02
15613293841,9031b54a-7b41-4bcc-961f-0c24d0fe04d8,1483948224,-1,43,167,57,87,49,172,250,93,116,81,3.12638888889,3,3,3.1,3.13
15613293841,9031b54a-7b41-4bcc-961f-0c24d0fe04d8,1483948227,-1,43,167,57,86.8333333333,49,172,251.833333333,93.8333333333,116.166666667,82.3333333333,3.44313888889,3,3.5,3.4,3.44
15613293841,9031b54a-7b41-4bcc-961f-0c24d0fe04d8,1483948230,-1,43,167,57,86,49,172,251,93,122,79,3.24166666666,3,3,3.2,3.24
15613293841,9031b54a-7b41-4bcc-961f-0c24d0fe04d8,1483948233,-1,43,167,57,86,48,171,250,91,118,77,2.76833333333,3,3,2.8,2.77
15613293841,9031b54a-7b41-4bcc-961f-0c24d0fe04d8,1483948236,-1,43,167,57,88,49,171,247,88,111,78,2.6,3,2.5,2.6,2.6
15613293841,9031b54a-7b41-4bcc-961f-0c24d0fe04d8,1483948239,-1,43,167,57,86.5,47.5,172.5,248.5,91,123,76.5,2.43166666667,2,2.5,2.4,2.43
15613293841,9031b54a-7b41-4bcc-961f-0c24d0fe04d8,1483948242,-1,43,167,57,86,47,173,249,92,127,76,2.42773333334,2,2.5,2.4,2.43
15613293841,9031b54a-7b41-4bcc-961f-0c24d0fe04d8,1483948245,-1,43,167,57,82.8333333333,48.6666666667,173.666666667,246.166666667,82.3333333333,121.666666667,75,2.41396666667,2,2.5,2.4,2.41
15613293841,9031b54a-7b41-4bcc-961f-0c24d0fe04d8,1483948248,-1,43,167,57,82,52,177,247,89,125,75,2.2456,2,2,2.2,2.25
15613293841,9031b54a-7b41-4bcc-961f-0c24d0fe04d8,1483948251,-1,43,167,57,81.125,54.625,180.5,238.25,90.75,120.625,81.125,2.05661111111,2,2,2.1,2.06
